1000|0.0002090|146.0568|0|0|18.0| SAT_1
1000|0.0002090|146.0568|45|0|18.0| SAT_2
1000|0.0002090|146.0568|90|0|18.0| SAT_3
1000|0.0002090|146.0568|135|0|18.0| SAT_4
1000|0.0002090|56.0568|0|45|18.0| SAT_5
1000|0.0002090|56.0568|45|45|18.0| SAT_6
1000|0.0002090|56.0568|90|45|18.0| SAT_7
1000|0.0002090|56.0568|135|45|18.0| SAT_8
1000|0.0002090|146.0568|0|90|18.0| SAT_9
1000|0.0002090|146.0568|45|90|18.0| SAT_10
1000|0.0002090|146.0568|90|90|18.0| SAT_11
1000|0.0002090|146.0568|135|90|18.0| SAT_12
1000|0.0002090|56.0568|0|135|18.0| SAT_13
1000|0.0002090|56.0568|45|135|18.0| SAT_14
1000|0.0002090|56.0568|90|135|18.0| SAT_15
1000|0.0002090|56.0568|135|135|18.0| SAT_16
